Player,Tm,Pos,Age,FantasyPoints,G,GS,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Tgt,Rec,Int,Fumbles,FumblesLost
Mercury Morris,MIA,RB,28.0,105.0,14.0,14.0,0.0,0.0,0.0,875.0,4.0,219.0,15.0,0.0,,2.0,0.0,5.0,0.0
Dexter Bussey,DET,RB,23.0,111.1,13.0,13.0,0.0,0.0,0.0,696.0,2.0,157.0,175.0,2.0,,14.0,0.0,7.0,0.0
Carl Garrett,NYJ,RB,28.0,121.6,13.0,8.0,0.0,0.0,0.0,566.0,5.0,122.0,180.0,1.0,,19.0,0.0,4.0,0.0
Bob Griese,MIA,QB,30.0,105.62,10.0,10.0,1693.0,14.0,191.0,59.0,1.0,17.0,0.0,0.0,,0.0,13.0,2.0,0.0
Preston Pearson,DAL,RB,30.0,135.0,14.0,10.0,0.0,0.0,0.0,509.0,2.0,133.0,351.0,2.0,,27.0,0.0,1.0,0.0
Rickey Young,SDG,RB,22.0,121.30000000000001,14.0,8.0,0.0,0.0,0.0,577.0,5.0,138.0,166.0,1.0,,21.0,0.0,5.0,0.0
Roman Gabriel,PHI,QB,35.0,98.76,11.0,9.0,1644.0,13.0,292.0,70.0,1.0,13.0,0.0,0.0,,0.0,11.0,5.0,0.0
Ken Stabler,OAK,QB,30.0,99.34,14.0,13.0,2296.0,16.0,293.0,-5.0,0.0,6.0,0.0,0.0,,0.0,24.0,4.0,0.0
Ed Marinaro,MIN,RB,25.0,154.0,14.0,13.0,0.0,0.0,0.0,358.0,1.0,101.0,462.0,3.0,,54.0,0.0,3.0,0.0
Stan Fritts,CIN,RB,23.0,109.03999999999999,13.0,5.0,31.0,0.0,4.0,375.0,8.0,94.0,63.0,2.0,,6.0,0.0,1.0,0.0
Steve Bartkowski,ATL,QB,23.0,89.98,11.0,11.0,1662.0,13.0,255.0,15.0,2.0,14.0,0.0,0.0,,0.0,15.0,6.0,0.0
